"","hierarchy_level1","hierarchy_level2","week","y1","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
"3389","B2","1","2012-02-19",8.24450511614465,4.54117094153418,8.64603314582893,0,0,0,0,3.908282137429,3.86898353258441,0.205877516339224,0,0.213291260469556,0.0626333014187782,0
"3390","B2","1","2013-04-14",7.28034770659959,3.93697124699073,7.60348120141528,0,0,0,0,3.82393856548428,3.19773192332449,0,0,0.113291260469556,0.0626333014187782,0
"3391","B2","1","2013-07-14",7.58133876779664,4.48127279995311,7.03410057778889,1,0,0,0,3.82591419997607,3.2034278255544,0,0,0.113291260469556,0.0626333014187782,0
"3392","B2","1","2012-01-01",8.14780266322994,5.0068045711088,7.52036292939539,0,0,0,0,3.91612768159428,3.84104849989675,0.205877516339224,0,0.383291260469556,0.0626333014187782,0
"3393","B2","1","2011-11-06",7.93276790902968,4.51764044412398,7.55168298401776,0,0,0,0,3.92510440255584,3.17531824179276,0,0,0.333291260469556,0.0626333014187782,0
"3394","B2","1","2013-07-21",7.52134685716867,3.61318416989683,7.39549230170911,1,0,0,0,3.82657187839504,3.20601364869043,0,0,0.113291260469556,0.0626333014187782,0
"3395","B2","1","2013-01-20",7.10507083295629,3.82449326356404,7.13901496361554,0,0,0,0,3.82788593903091,3.20967806653561,0,0,0.113291260469556,0.0626333014187782,0
"3396","B2","1","2012-12-16",7.27806460058502,3.64217170677008,7.15336927706722,0,0,0,0,3.83605992601663,3.23348497256781,0.285877516339224,0,0.113291260469556,0.0626333014187782,1
"3397","B2","1","2012-06-17",8.05817553795316,5.06355738770124,8.23655572793789,0,0,0,0,3.88343804411426,3.02765127890238,0.205877516339224,0,0.203291260469556,0.0626333014187782,0
"3398","B2","1","2013-01-13",7.1384740720891,3.82449326356404,7.12363627121289,0,0,0,0,3.82952609029247,3.21422830868242,0,0,0.113291260469556,0.0626333014187782,0
"3399","B2","1","2012-01-15",7.74089974035215,4.92310555223215,7.97523621369602,0,0,0,0,3.91402146748634,3.92007248556615,0.455877516339224,0,0.223291260469556,0.0626333014187782,0
